Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.02,0.030000000000000002,1.0995574287564276,2792100.0,95.00309346256005
0.02,0.030000000000000002,1.2566370614359172,2791800.0,95.0013984188986
0.02,0.030000000000000002,1.413716694115407,2793300.0,95.00295865462876
0.02,0.030000000000000002,1.5707963267948966,2800800.0,95.0036212077452
0.02,0.034999999999999996,0.0,1080900.0,95.05837250792956
0.02,0.034999999999999996,0.15707963267948966,1259700.0,95.01361107129803
0.02,0.034999999999999996,0.3141592653589793,1526700.0,95.00736268396528
0.02,0.034999999999999996,0.47123889803846897,1855500.0,95.00113529147097
0.02,0.034999999999999996,0.6283185307179586,2274900.0,95.00473312226468
0.02,0.034999999999999996,0.7853981633974483,2775900.0,95.00009136275237
0.02,0.034999999999999996,0.9424777960769379,2800200.0,95.00412732637982
0.02,0.034999999999999996,1.0995574287564276,2790900.0,95.0016284094703
0.02,0.034999999999999996,1.2566370614359172,2790900.0,95.00448995047014
0.02,0.034999999999999996,1.413716694115407,2792100.0,95.00101045145574
0.02,0.034999999999999996,1.5707963267948966,2799600.0,95.00269883978962
0.02,0.04,0.0,1080600.0,95.07981378567165
0.02,0.04,0.15707963267948966,1259100.0,95.00095388791071
0.02,0.04,0.3141592653589793,1526100.0,95.00527264232656
0.02,0.04,0.47123889803846897,1854900.0,95.00202212224896
0.02,0.04,0.6283185307179586,2274000.0,95.00228155466853
0.02,0.04,0.7853981633974483,2774700.0,95.0037525049412
0.02,0.04,0.9424777960769379,2799300.0,95.0050539020468
0.02,0.04,1.0995574287564276,2790000.0,95.00136680830317
0.02,0.04,1.2566370614359172,2790000.0,95.00385473682135
0.02,0.04,1.413716694115407,2791200.0,95.00041687914637
0.02,0.04,1.5707963267948966,2798700.0,95.00275901733993
0.02,0.045,0.0,1080300.0,95.06852498220822
0.02,0.045,0.15707963267948966,1258800.0,95.0051788940004
0.02,0.045,0.3141592653589793,1525800.0,95.01064270092043
0.02,0.045,0.47123889803846897,1854600.0,95.00798090950879
0.02,0.045,0.6283185307179586,2273400.0,95.00356111751562
0.02,0.045,0.7853981633974483,2773200.0,95.0000795577257
0.02,0.045,0.9424777960769379,2798400.0,95.00312449526899
0.02,0.045,1.0995574287564276,2789400.0,95.00333563526618
0.02,0.045,1.2566370614359172,2789100.0,95.00058476473794
0.02,0.045,1.413716694115407,2790600.0,95.00236163324168
0.02,0.045,1.5707963267948966,2797800.0,95.00025117544011
0.02,0.049999999999999996,0.0,1080000.0,95.03306094930679
0.02,0.049999999999999996,0.15707963267948966,1258500.0,95.00509862736716
0.02,0.049999999999999996,0.3141592653589793,1525200.0,95.00228384395767
